ABV,X,Y
SKF,788,"1,333"
DWH,529,218
NFW,369,41
LBX,282,100
PSX,120,120
RND,73,0
ADS,36,16
DRT,22,0
ODO,21,3
49F,20,0
BYY,20,20
E41,20,0
FST,20,0
MRF,20,38
PVW,17,0
SGR,17,31
DHT,16,0
GKY,12,16
E11,10,0
GLS,10,22
OZA,10,0
VHN,8,0
TPL,5,3
FWS,2,3
MDD,2,9
TME,2,0
SLR,1,0
SLC,"11,143,738","10,634,538"
SGU,"78,680","69,680"
PVU,"78,451","65,307"
ENV,"45,492","54,090"
OGD,"15,609","16,577"
CDC,"14,413","14,334"
CNY,"7,837","2,105"
VEL,"4,007","1,320"
UT03,"2,216",0
U34,820,0
UT25,754,"1,015"
LGU,704,"1,121"
KNB,373,317
HIF,333,484
BCE,67,0
